Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9242715508260497,0.5040550974151768,,18622
Per-Label,Enlarged Cardiomediastinum,0.8183738124678979,0.25494272063261886,,18622
Per-Label,Cardiomegaly,0.930879252261854,0.7353475542003892,,18622
Per-Label,Lung Opacity,0.7829066332795981,0.7780796809109582,,18622
Per-Label,Lung Lesion,0.8649028288703049,0.2834186731471244,,18622
Per-Label,Edema,0.9074603099868167,0.795575307408596,,18622
Per-Label,Consolidation,0.827652659652415,0.33219947009880785,,18622
Per-Label,Pneumonia,0.8527151285483586,0.15156528921111204,,18622
Per-Label,Atelectasis,0.7678222617223202,0.5683079988829343,,18622
Per-Label,Pneumothorax,0.9465521002933738,0.7632359737313607,,18622
Per-Label,Pleural Effusion,0.9163146726084868,0.9029941382793748,,18622
Per-Label,Pleural Other,0.854367846035874,0.11641611640534882,,18622
Per-Label,Fracture,0.8580244405159911,0.29499656694744436,,18622
Per-Label,Support Devices,0.9141085680668781,0.9400103848858888,,18622
Summary,Mean_Valid_Labels,0.8690251475097298,0.5300817837255096,0.24888704156865368,18622
