Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9398286897481023,0.5888699002720494,,14549
Per-Label,Enlarged Cardiomediastinum,0.8193357959257047,0.23360581513873793,,14549
Per-Label,Cardiomegaly,0.9519374653248204,0.78576682828169,,14549
Per-Label,Lung Opacity,0.8095492065150169,0.8172266093781735,,14549
Per-Label,Lung Lesion,0.8793283500123252,0.33067803835556053,,14549
Per-Label,Edema,0.9058758501416255,0.7832160599030995,,14549
Per-Label,Consolidation,0.8109487049986791,0.342171957935111,,14549
Per-Label,Pneumonia,0.8679368851917871,0.16529847476528844,,14549
Per-Label,Atelectasis,0.8072287878023764,0.4480426229425519,,14549
Per-Label,Pneumothorax,0.9520684392403729,0.7916030399452456,,14549
Per-Label,Pleural Effusion,0.9110353285061348,0.9247499651072367,,14549
Per-Label,Pleural Other,0.8785357784397099,0.16131526852465475,,14549
Per-Label,Fracture,0.8438048910014214,0.22213608406106683,,14549
Per-Label,Support Devices,0.9269184300442496,0.9415419465575728,,14549
Summary,Mean_Valid_Labels,0.8788809002065946,0.5383016150834313,0.23193327411092576,14549
