Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9818415474740055,0.8800495395150991,,11200
Per-Label,Enlarged Cardiomediastinum,0.871877926186428,0.35048835450230137,,11200
Per-Label,Cardiomegaly,0.9835100224229134,0.9189337618743159,,11200
Per-Label,Lung Opacity,0.9021396862455375,0.890362490500683,,11200
Per-Label,Lung Lesion,0.9383682643926468,0.5317630843185848,,11200
Per-Label,Edema,0.969580484401122,0.9137068134385438,,11200
Per-Label,Consolidation,0.8651784288382485,0.3686447820659488,,11200
Per-Label,Pneumonia,0.8983952945980731,0.2488026826961269,,11200
Per-Label,Atelectasis,0.9188719800993465,0.7225576249562304,,11200
Per-Label,Pneumothorax,0.986880263574057,0.922569511016145,,11200
Per-Label,Pleural Effusion,0.9779503293831016,0.9694460599286605,,11200
Per-Label,Pleural Other,0.9401590078270425,0.26580615492739557,,11200
Per-Label,Fracture,0.9082160466581853,0.45751267247823624,,11200
Per-Label,Support Devices,0.988326850362346,0.9895489669711939,,11200
Summary,Mean_Valid_Labels,0.9379497237473611,0.6735851785135333,0.16740683872784887,11200
